crime,neighborhood,count
LARCENY-FROM VEHICLE,Downtown,8371
LARCENY-FROM VEHICLE,Midtown,7152
LARCENY-NON VEHICLE,Downtown,6284
LARCENY-NON VEHICLE,Lenox,3575
LARCENY-NON VEHICLE,Midtown,3202
LARCENY-FROM VEHICLE,Old Fourth Ward,2696
LARCENY-NON VEHICLE,West End,2442
LARCENY-NON VEHICLE,Berkeley Park,2244
LARCENY-NON VEHICLE,Old Fourth Ward,2099
LARCENY-FROM VEHICLE,Home Park,1927
LARCENY-NON VEHICLE,Edgewood,1927
AUTO THEFT,Downtown,1843
LARCENY-NON VEHICLE,North Buckhead,1804
LARCENY-FROM VEHICLE,Grant Park,1739
LARCENY-FROM VEHICLE,Virginia Highland,1684
LARCENY-FROM VEHICLE,North Buckhead,1655
LARCENY-NON VEHICLE,Vine City,1580
LARCENY-NON VEHICLE,Greenbriar,1489
LARCENY-FROM VEHICLE,Inman Park,1392
LARCENY-FROM VEHICLE,Castleberry Hill,1308
AUTO THEFT,Midtown,1307
LARCENY-NON VEHICLE,Atlantic Station,1263
LARCENY-NON VEHICLE,Lindbergh/Morosgo,1238
LARCENY-FROM VEHICLE,West End,1187
ROBBERY-PEDESTRIAN,Downtown,1144
LARCENY-FROM VEHICLE,Greenbriar,1120
BURGLARY-RESIDENCE,Pittsburgh,1095
AUTO THEFT,West End,1089
AGG ASSAULT,Downtown,1081
LARCENY-FROM VEHICLE,Mechanicsville,1073
LARCENY-FROM VEHICLE,Sweet Auburn,1072
BURGLARY-RESIDENCE,Grove Park,1072
LARCENY-FROM VEHICLE,Morningside/Lenox Park,1061
LARCENY-NON VEHICLE,Perkerson,1036
AUTO THEFT,Sylvan Hills,1030
AUTO THEFT,Old Fourth Ward,1017
LARCENY-FROM VEHICLE,Princeton Lakes,995
LARCENY-FROM VEHICLE,Kirkwood,950
LARCENY-FROM VEHICLE,Lenox,928
LARCENY-FROM VEHICLE,Lindbergh/Morosgo,909
LARCENY-FROM VEHICLE,East Atlanta,906
LARCENY-FROM VEHICLE,Marietta Street Artery,888
LARCENY-FROM VEHICLE,Sylvan Hills,880
AUTO THEFT,Mechanicsville,873
BURGLARY-RESIDENCE,Old Fourth Ward,871
BURGLARY-RESIDENCE,West End,857
BURGLARY-RESIDENCE,Oakland City,856
BURGLARY-RESIDENCE,Southwest,838
LARCENY-NON VEHICLE,Grove Park,832
BURGLARY-RESIDENCE,Sylvan Hills,826
LARCENY-FROM VEHICLE,Buckhead Forest,802
LARCENY-FROM VEHICLE,Poncey-Highland,796
LARCENY-NON VEHICLE,Poncey-Highland,793
AUTO THEFT,Greenbriar,776
LARCENY-FROM VEHICLE,Berkeley Park,768
LARCENY-FROM VEHICLE,Candler Park,768
AUTO THEFT,Grant Park,759
BURGLARY-RESIDENCE,East Atlanta,754
LARCENY-FROM VEHICLE,Underwood Hills,747
LARCENY-FROM VEHICLE,Summerhill,740
BURGLARY-RESIDENCE,Vine City,739
BURGLARY-RESIDENCE,Glenrose Heights,728
BURGLARY-RESIDENCE,Campbellton Road,710
LARCENY-FROM VEHICLE,English Avenue,707
BURGLARY-RESIDENCE,Peoplestown,706
LARCENY-NON VEHICLE,Inman Park,704
LARCENY-NON VEHICLE,Sylvan Hills,701
AUTO THEFT,Pittsburgh,699
LARCENY-FROM VEHICLE,Vine City,683
LARCENY-FROM VEHICLE,Grove Park,681
LARCENY-FROM VEHICLE,Edgewood,679
AUTO THEFT,Collier Heights,678
LARCENY-NON VEHICLE,English Avenue,673
LARCENY-FROM VEHICLE,Lindridge/Martin Manor,669
BURGLARY-RESIDENCE,Venetian Hills,665
BURGLARY-RESIDENCE,Collier Heights,663
BURGLARY-RESIDENCE,Lakewood Heights,659
LARCENY-NON VEHICLE,Campbellton Road,658
LARCENY-FROM VEHICLE,Pittsburgh,651
LARCENY-FROM VEHICLE,Blandtown,646
BURGLARY-RESIDENCE,Kirkwood,639
LARCENY-FROM VEHICLE,Piedmont Heights,624
LARCENY-NON VEHICLE,Grant Park,620
BURGLARY-RESIDENCE,Center Hill,620
AUTO THEFT,Grove Park,612
ROBBERY-PEDESTRIAN,Midtown,608
LARCENY-FROM VEHICLE,Atlantic Station,596
BURGLARY-RESIDENCE,Westview,585
LARCENY-NON VEHICLE,Glenrose Heights,581
LARCENY-FROM VEHICLE,Atlanta University Center,574
LARCENY-NON VEHICLE,Pittsburgh,564
AUTO THEFT,Glenrose Heights,562
BURGLARY-RESIDENCE,Mechanicsville,552
AGG ASSAULT,Pittsburgh,548
AUTO THEFT,Southwest,548
BURGLARY-RESIDENCE,Grant Park,544
ROBBERY-PEDESTRIAN,West End,532
LARCENY-NON VEHICLE,East Atlanta,532
BURGLARY-RESIDENCE,English Avenue,530
AUTO THEFT,Harland Terrace,528
AUTO THEFT,Campbellton Road,524
LARCENY-NON VEHICLE,South River Gardens,514
LARCENY-NON VEHICLE,Mechanicsville,506
LARCENY-FROM VEHICLE,Garden Hills,505
AGG ASSAULT,Old Fourth Ward,502
LARCENY-FROM VEHICLE,Adamsville,501
AGG ASSAULT,Grove Park,501
LARCENY-NON VEHICLE,Princeton Lakes,501
ROBBERY-PEDESTRIAN,Old Fourth Ward,499
AUTO THEFT,Perkerson,497
BURGLARY-RESIDENCE,Midtown,496
LARCENY-FROM VEHICLE,Collier Heights,496
LARCENY-NON VEHICLE,Home Park,489
BURGLARY-RESIDENCE,Edgewood,482
AUTO THEFT,Vine City,481
BURGLARY-RESIDENCE,South River Gardens,480
LARCENY-NON VEHICLE,Lakewood Heights,479
LARCENY-NON VEHICLE,Harland Terrace,476
AUTO THEFT,East Atlanta,474
AGG ASSAULT,English Avenue,473
LARCENY-FROM VEHICLE,Buckhead Village,469
LARCENY-NON VEHICLE,Center Hill,468
LARCENY-NON VEHICLE,Kirkwood,467
BURGLARY-RESIDENCE,Greenbriar,462
LARCENY-NON VEHICLE,Virginia Highland,462
BURGLARY-RESIDENCE,Hunter Hills,457
